Cód.,Bairro,Município,Estado
3205002042,Jardim Limoeiro,Serra,ES
3205002043,Bicanga,Serra,ES
3205002044,Balneário de Carapebus,Serra,ES
3205002045,Alterozas,Serra,ES
3205002046,Cidade Continental,Serra,ES
3205002047,Praia de Carapebus,Serra,ES
3205002048,Chácara Parreiral,Serra,ES
3205002049,Novo Horizonte,Serra,ES
3205002050,São Diogo II,Serra,ES
3205002051,São Diogo I,Serra,ES
3205002052,São Geraldo,Serra,ES
3205002053,Manoel Plaza,Serra,ES
3205002054,Eurico Salles,Serra,ES
3205002055,Rosário de Fátima,Serra,ES
3205002056,Boa Vista (Carapina),Serra,ES
3205002057,Jardim Carapina,Serra,ES
3205002058,Santa Luzia,Serra,ES
3205002059,Terminal Intermodal da Serra,Serra,ES
3205002060,André Carlone,Serra,ES
3205002061,Carapina Grande,Serra,ES
3205002062,Diamantina,Serra,ES
3205002063,Central Carapina,Serra,ES
3205002064,Planalto Carapina,Serra,ES
3205002065,Jardim Tropical,Serra,ES
3205002066,Cantinho do Céu,Serra,ES
3205002067,José de Anchieta II,Serra,ES
3205002068,Solar de Anchieta,Serra,ES
3205002069,José de Anchieta,Serra,ES
3205002070,José de Anchieta III,Serra,ES
3205002071,Laranjeiras Velha,Serra,ES
3205002072,Taquara I,Serra,ES
3205002073,São Judas Tadeu,Serra,ES
3205002074,Taquara II,Serra,ES
3205002075,Barcelona,Serra,ES
3205002076,Maringá,Serra,ES
3205002077,Civit I,Serra,ES
3205002078,Parque Residencial Tubarão,Serra,ES
3205002079,Planície da Serra,Serra,ES
3205002080,Mata da Serra,Serra,ES
3205002081,Porto Canoa,Serra,ES
3205002082,Santo Antônio,Serra,ES
3205002083,Barro Branco,Serra,ES
3205002084,Pitanga,Serra,ES
3205002085,Parque Residencial Mestre Álvaro,Serra,ES
3205002086,Nova Carapina I,Serra,ES
3205002087,Nova Carapina II,Serra,ES
3205002088,Cidade Pomar,Serra,ES
3205002089,Eldorado,Serra,ES
3205002090,Novo Porto Canoa,Serra,ES
3205002091,Serra Dourada II,Serra,ES
3205002092,Serra Dourada I,Serra,ES
3205002093,Serra Dourada III,Serra,ES
3205002094,Campinho da Serra II,Serra,ES
3205002095,Vista da Serra II,Serra,ES
3205002096,Campinho da Serra I,Serra,ES
3205002097,Planalto Serrano,Serra,ES
3205002098,Vista da Serra I,Serra,ES
3205002099,São Lourenço,Serra,ES
3205002100,Vila Maria Niobe,Serra,ES
3205002101,Caçaroca,Serra,ES
3205002102,Fazenda Cascata,Serra,ES
3205002103,Serra Centro,Serra,ES
3205002104,Jardim Primavera,Serra,ES
3205002105,Jardim Guanabara,Serra,ES
3205002106,Centro da Serra,Serra,ES
3205002107,São Domingos,Serra,ES
3205002108,Jardim Bela Vista,Serra,ES
3205002109,São Marcos,Serra,ES
3205002110,Nossa Senhora da Conceição,Serra,ES
3205002111,Colina da Serra,Serra,ES
3205002112,Jardim da Serra,Serra,ES
3205002113,Divinópolis,Serra,ES
3205002114,Cidade Nova da Serra,Serra,ES
3205002115,Parque Residencial Nova Almeida,Serra,ES
3205101001,Centro,Viana,ES
3205101002,Bom Pastor,Viana,ES
3205101003,Ribeira,Viana,ES
3205101004,Universal,Viana,ES
3205101005,Cannaã,Viana,ES
3205101006,Primavera,Viana,ES
3205101007,Marcilio de Noronha,Viana,ES
3205101008,Vila Bethania,Viana,ES
3205101009,Nova Bethania,Viana,ES
3205101010,Areinha,Viana,ES
3205101011,Arlindo Angelo Villaschi,Viana,ES
3205101012,Caxias do Sul,Viana,ES
3205101013,Campo Verde,Viana,ES
3205101014,Morada Bethania,Viana,ES
3205101015,Parque Industrial,Viana,ES
3205101016,Jucú,Viana,ES
3205101017,Araçatiba,Viana,ES
3205101018,Boa Esperança,Viana,ES
3205200001,Centro de Vila Velha,Vila Velha,ES
3205200002,Boa Vista I,Vila Velha,ES
3205200003,Boa Vista II,Vila Velha,ES
3205200004,Coqueiral de Itaparica,Vila Velha,ES
3205200005,Cristóvão Colombo,Vila Velha,ES
3205200006,Divino Espírito Santo,Vila Velha,ES
3205200007,Glória,Vila Velha,ES
3205200008,Ilha dos Ayres,Vila Velha,ES
3205200009,Itapuã,Vila Velha,ES
3205200010,Jaburuna,Vila Velha,ES
3205200011,Jockey de Itaparica,Vila Velha,ES
3205200012,Olaria,Vila Velha,ES
3205200013,Praia da Costa,Vila Velha,ES
3205200014,Praia das Gaivotas,Vila Velha,ES
3205200015,Praia de Itaparica,Vila Velha,ES
3205200016,Residencial Itaparica,Vila Velha,ES
3205200017,Soteco,Vila Velha,ES
3205200018,Vista da Penha,Vila Velha,ES
3205200019,Ibes,Vila Velha,ES
3205200020,Araçás,Vila Velha,ES
3205200021,Brisamar,Vila Velha,ES
3205200022,Cocal,Vila Velha,ES
3205200023,Darly Santos,Vila Velha,ES
3205200024,Guaranhuns,Vila Velha,ES
3205200025,Ilha dos Bentos,Vila Velha,ES
3205200026,Jardim Asteca,Vila Velha,ES
3205200027,Jardim Colorado,Vila Velha,ES
3205200028,Jardim Guadalajara,Vila Velha,ES
3205200029,Jardim Guaranhuns,Vila Velha,ES
3205200030,Nossa Senhora da Penha,Vila Velha,ES
3205200031,Nova Itaparica,Vila Velha,ES
3205200032,Novo México,Vila Velha,ES
3205200033,Pontal das Garças,Vila Velha,ES
3205200034,Santa Inês,Vila Velha,ES
3205200035,Santa Mônica Popular,Vila Velha,ES
3205200036,Santa Mônica,Vila Velha,ES
3205200037,Santos Dumont,Vila Velha,ES
3205200038,Vila Guaranhuns,Vila Velha,ES
3205200039,Vila Nova,Vila Velha,ES
3205200040,Aribiri,Vila Velha,ES
3205200041,Argolas,Vila Velha,ES
3205200042,Ataíde,Vila Velha,ES
3205200043,Cavalieri,Vila Velha,ES
3205200044,Chácara do Conde,Vila Velha,ES
3205200045,Dom João Batista,Vila Velha,ES
3205200046,Garoto,Vila Velha,ES
3205200047,Ilha da Conceição,Vila Velha,ES
3205200048,Ilha das Flores,Vila Velha,ES
3205200049,Paul,Vila Velha,ES
3205200050,Pedra dos Búzios,Vila Velha,ES
3205200051,Primeiro de Maio,Vila Velha,ES
3205200052,Sagrada Família,Vila Velha,ES
3205200053,Santa Rita,Vila Velha,ES
3205200054,Vila Batista,Vila Velha,ES
3205200055,Vila Garrido,Vila Velha,ES
3205200056,Zumbi dos Palmares,Vila Velha,ES
3205200057,Cobilândia,Vila Velha,ES
3205200058,Alecrim,Vila Velha,ES
3205200059,Alvorada,Vila Velha,ES
3205200060,Cobi de Baixo,Vila Velha,ES
3205200061,Cobi de Cima,Vila Velha,ES
3205200062,Industrial,Vila Velha,ES
3205200063,Jardim do Vale,Vila Velha,ES
3205200064,Jardim Marilândia,Vila Velha,ES
3205200065,Nova América,Vila Velha,ES
3205200066,Planalto,Vila Velha,ES
3205200067,Rio Marinho,Vila Velha,ES
3205200068,Santa Clara,Vila Velha,ES
3205200069,São Torquato,Vila Velha,ES
3205200070,Vale Encantado,Vila Velha,ES
3205200071,Barra do Jucu,Vila Velha,ES
3205200072,Balneário Ponta da Fruta,Vila Velha,ES
3205200073,Barramares,Vila Velha,ES
3205200074,Cidade da Barra,Vila Velha,ES
3205200075,Interlagos,Vila Velha,ES
3205200076,Jabaeté,Vila Velha,ES
3205200077,João Goulart,Vila Velha,ES
3205200078,Morada da Barra,Vila Velha,ES
3205200079,Morada do Sol,Vila Velha,ES
3205200080,Morro da Lagoa,Vila Velha,ES
3205200081,Normília da Cunha,Vila Velha,ES
3205200082,Nova Ponta da Fruta,Vila Velha,ES
3205200083,Ponta da Fruta,Vila Velha,ES
3205200084,Praia dos Recifes,Vila Velha,ES
3205200085,Riviera da Barra,Vila Velha,ES
3205200086,Santa Paula I,Vila Velha,ES
3205200087,Santa Paula II,Vila Velha,ES
3205200088,São Conrado,Vila Velha,ES
3205200089,Terra Vermelha,Vila Velha,ES
3205200090,Ulisses Guimarães,Vila Velha,ES
3205200091,Vinte e Três de Maio,Vila Velha,ES
3205309001,Centro,Vitória,ES
3205309002,do Moscoso,Vitória,ES
3205309003,Fonte Grande,Vitória,ES
3205309004,Forte São João,Vitória,ES
3205309005,Parque Moscoso,Vitória,ES
3205309006,Piedade,Vitória,ES
3205309007,Santa Clara,Vitória,ES
3205309008,Vila Rubim,Vitória,ES
3205309009,Ariovaldo Favalessa,Vitória,ES
3205309010,Bela Vista,Vitória,ES
3205309011,Caratoíra,Vitória,ES
3205309012,do Cabral,Vitória,ES
3205309013,do Quadro,Vitória,ES
3205309014,Estrelinha,Vitória,ES
3205309015,Grande Vitória,Vitória,ES
3205309016,Ilha do Príncipe,Vitória,ES
3205309017,Inhanguetá,Vitória,ES
3205309018,Mário Cypreste,Vitória,ES
3205309019,Santo Antônio,Vitória,ES
3205309020,Santa Tereza,Vitória,ES
3205309021,Universitário,Vitória,ES
3205309022,Bento Ferreira,Vitória,ES
3205309023,Consolação,Vitória,ES
3205309024,Cruzamento,Vitória,ES
3205309025,de Lourdes,Vitória,ES
3205309026,Fradinhos,Vitória,ES
3205309027,Gurigica,Vitória,ES
3205309028,Horto,Vitória,ES
3205309029,Ilha de Santa Maria,Vitória,ES
3205309030,Jesus de Nazareth,Vitória,ES
3205309031,Jucutuquara,Vitória,ES
3205309032,Monte Belo,Vitória,ES
3205309033,Nazareth,Vitória,ES
3205309034,Romão,Vitória,ES
3205309035,Andorinhas,Vitória,ES
3205309036,Bonfim,Vitória,ES
3205309037,da Penha,Vitória,ES
3205309038,Itararé,Vitória,ES
3205309039,Joana D'arc,Vitória,ES
3205309040,Maruípe,Vitória,ES
3205309041,Santa Cecília,Vitória,ES
3205309042,Santa Martha,Vitória,ES
3205309043,Santos Dumont,Vitória,ES
3205309044,São Benedito,Vitória,ES
3205309045,São Cristovão,Vitória,ES
3205309046,Tabuazeiro,Vitória,ES
3205309047,Barro Vermelho,Vitória,ES
3205309048,Enseada do Suá,Vitória,ES
3205309049,Ilha do Boi,Vitória,ES
3205309050,Ilha do Frade,Vitória,ES
3205309051,Praia do Canto,Vitória,ES
3205309052,Praia do Suá,Vitória,ES
3205309053,Santa Helena,Vitória,ES
3205309054,Santa Lúcia,Vitória,ES
3205309055,Santa Luíza,Vitória,ES
3205309057,Antonio Honório,Vitória,ES
3205309058,Boa Vista,Vitória,ES
3205309059,Carapina I,Vitória,ES
3205309060,De Fátima,Vitória,ES
3205309061,Goiabeiras,Vitória,ES
3205309062,Hélio Ferraz,Vitória,ES
3205309063,Jabour,Vitória,ES
3205309064,Jardim Camburí,Vitória,ES
3205309065,Jardim da Penha,Vitória,ES
3205309066,Maria Ortiz,Vitória,ES
3205309067,Mata da Praia,Vitória,ES
3205309068,Morada de Camburí,Vitória,ES
3205309069,Parque Industrial,Vitória,ES
3205309070,Pontal de Camburí,Vitória,ES
3205309071,República,Vitória,ES
3205309072,Segurança do Lar,Vitória,ES
3205309073,Solon Borges,Vitória,ES
3205309074,Condusa,Vitória,ES
3205309075,Conquista,Vitória,ES
3205309076,Ilha das Caieiras,Vitória,ES
3205309077,Nova Palestina,Vitória,ES
3205309078,Redenção,Vitória,ES
3205309079,Resistência,Vitória,ES
3205309080,Santo André,Vitória,ES
3205309081,Santos Reis,Vitória,ES
3205309082,São José,Vitória,ES
3205309083,São Pedro,Vitória,ES
